known_tags,rec_1,rec_2,rec_3,rec_4,rec_5
"['algorithm', 'optimization', 'hashtable', 'string', 'hash', 'arrays']",substring,boolean-expression,stack,boolean-logic,tree
['optimization'],memory-management,hash,stack,multidimensional-array,recursion
"['heuristics', 'algorithm', 'optimization', 'arrays', 'memory-management', 'tail-recursion', 'recursion', 'list']",backtracking,linear-programming,stability,set-theory,sparse-matrix
"['algorithm', 'optimization', 'string', 'hash', 'arrays']",recursion,boolean,multidimensional-array,set,substring
"['complexity-theory', 'boolean', 'boolean-operations', 'boolean-expression', 'algorithm', 'optimization', 'string-concatenation', 'substring', 'hashtable', 'hashset', 'string', 'hash', 'hashmap', 'binary-search-tree', 'binary-tree', 'tree', 'depth-first-search', 'data-structures', 'multidimensional-array', 'arrays', 'matrix-multiplication', 'variable-length-array', 'priority-queue', 'heap-memory', 'stack', 'memory-management', 'dynamic-allocation', 'dynamic-arrays', 'dynamic-programming', 'big-o', 'tail-recursion', 'time-complexity', 'fibonacci', 'recursion', 'set', 'mergesort', 'binary-search', 'bubble-sort', 'sorting', 'linked-list', 'list']",doubly-linked-list,non-deterministic,multiway-tree,automata,set-intersection
"['boolean', 'algorithm', 'string-comparison', 'string', 'hash', 'multidimensional-array', 'recursion']",hashset,boolean-logic,binary-search,probability,heuristics
['graph-theory'],directed-graph,heuristics,greedy,shortest-path,a-star
"['optimization', 'hashtable', 'string', 'hashmap', 'data-structures', 'arrays', 'sorting', 'list']",multidimensional-array,tree,stack,boolean-expression,hashcode
['arrays'],algorithm,optimization,sorting,list,data-structures
"['data-structures', 'queue']",graph,partitioning,string-comparison,graph-theory,string-matching
"['optimization', 'string', 'arrays', 'list']",recursion,hash,memory-management,boolean,substring
"['boolean', 'artificial-intelligence', 'algorithm', 'optimization', 'string', 'hash', 'data-structures', 'arrays', 'memory-management', 'partitioning', 'recursion', 'mergesort', 'sorting', 'insertion-sort']",divide-and-conquer,string-algorithm,set-intersection,static-array,recursive-datastructures
['graph'],artificial-intelligence,string-matching,graph-theory,string-comparison,code-complexity
['algorithm'],optimization,data-structures,sorting,memory-management,boolean
"['optimization', 'arrays', 'memory-management']",hash,recursion,hashtable,stack,boolean
"['optimization', 'arrays', 'queue', 'list']",graph,string-comparison,partitioning,string-matching,probability
"['string', 'arrays', 'list']",algorithm,optimization,sorting,hash,data-structures
"['algorithm', 'arrays', 'sorting']",optimization,recursion,hash,data-structures,boolean
"['algorithm', 'string', 'multidimensional-array', 'arrays']",set,queue,stack,string-concatenation,tree
['arrays'],algorithm,optimization,list,sorting,data-structures
"['boolean-logic', 'boolean', 'algorithm', 'optimization', 'substring', 'string', 'arrays']",boolean-expression,bubble-sort,set-theory,finite-automata,partitioning
['arrays'],hash,optimization,list,memory-management,algorithm
"['algorithm', 'optimization', 'string', 'tree', 'data-structures', 'arrays', 'directed-graph', 'graph-theory', 'memory-management', 'sorting', 'list']",a-star,graph-algorithm,shortest-path,directed-acyclic-graphs,binary-search-tree
[],algorithm,string,arrays,optimization,sorting
"['boolean', 'optimization', 'string-comparison', 'string', 'binary-tree', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'memory-management', 'sorting', 'list']",hashset,boolean-logic,priority-queue,binary-search,binary-search-tree
"['complexity-theory', 'artificial-intelligence', 'algorithm', 'optimization', 'arrays', 'graph-theory', 'big-o', 'time-complexity']",graph-algorithm,directed-graph,heuristics,directed-acyclic-graphs,np-complete
"['data-structures', 'arrays', 'sorting']",optimization,memory-management,recursion,hash,boolean
"['algorithm', 'optimization', 'sorting']",boolean,recursion,memory-management,string-matching,graph
"['boolean', 'algorithm', 'string', 'binary-tree', 'red-black-tree', 'tree', 'arrays']",doubly-linked-list,abstract-data-type,greatest-common-divisor,sparse-array,string-algorithm
"['artificial-intelligence', 'algorithm', 'hashset', 'string', 'treenode', 'arrays', 'list']",backtracking,minimax,adjacency-list,knapsack-problem,recursive-datastructures
"['algorithm', 'optimization', 'string', 'arrays', 'graph', 'big-o', 'sorting']",artificial-intelligence,graph-theory,heuristics,combinatorics,boolean-logic
"['string', 'arrays']",algorithm,optimization,sorting,list,hash
[],algorithm,string,arrays,optimization,data-structures
"['string', 'arrays', 'sorting']",optimization,data-structures,hash,recursion,substring
"['string', 'arrays', 'list']",algorithm,optimization,sorting,hash,data-structures
"['complexity-theory', 'optimization', 'multidimensional-array', 'arrays', 'heap-memory', 'stack', 'memory-management', 'big-o']",boolean-logic,artificial-intelligence,graph,binary-search,binary-tree
['string'],arrays,algorithm,optimization,list,sorting
['code-complexity'],shortest-path,stability,matrix-multiplication,greedy,backtracking
"['string-matching', 'string', 'arrays', 'list']",string-comparison,boolean-operations,boolean-expression,code-complexity,combinatorics
"['complexity-theory', 'algorithm', 'optimization', 'string', 'hash', 'data-structures', 'arrays', 'graph', 'memory-management', 'sorting', 'linked-list', 'list']",graph-theory,binary-tree,partitioning,artificial-intelligence,fifo
"['complexity-theory', 'algorithm', 'optimization', 'hashtable', 'arrays', 'code-complexity']",greedy,shortest-path,stability,a-star,graph-algorithm
"['optimization', 'string', 'hash', 'data-structures', 'arrays', 'memory-management', 'partitioning', 'recursion', 'combinatorics', 'sorting']",heuristics,code-complexity,fifo,stability,shortest-path
"['boolean', 'algorithm', 'hash-collision', 'hashtable', 'string', 'memory-management']",backtracking,heuristics,stability,set-theory,adjacency-list
"['algorithm', 'optimization', 'string-concatenation', 'string', 'hash', 'data-structures', 'arrays', 'graph', 'list']",artificial-intelligence,string-matching,string-comparison,graph-theory,boolean-logic
"['string', 'combinatorics']",heuristics,mathematical-optimization,code-complexity,np-complete,partitioning
"['algorithm', 'string', 'recursion']",boolean,set,multidimensional-array,substring,stack
