known_tags,rec_1,rec_2,rec_3,rec_4,rec_5
"['algorithm', 'optimization', 'hashtable', 'string', 'hash', 'arrays']",memory-management,list,sorting,data-structures,hashmap
['optimization'],memory-management,hash,stack,multidimensional-array,recursion
"['heuristics', 'algorithm', 'optimization', 'arrays', 'memory-management', 'tail-recursion', 'recursion', 'list']",sorting,data-structures,mathematical-optimization,probability,hash
"['algorithm', 'optimization', 'string', 'hash', 'arrays']",list,recursion,sorting,data-structures,memory-management
"['complexity-theory', 'boolean', 'boolean-operations', 'boolean-expression', 'algorithm', 'optimization', 'string-concatenation', 'substring', 'hashtable', 'hashset', 'string', 'hash', 'hashmap', 'binary-search-tree', 'binary-tree', 'tree', 'depth-first-search', 'data-structures', 'multidimensional-array', 'arrays', 'matrix-multiplication', 'variable-length-array', 'priority-queue', 'heap-memory', 'stack', 'memory-management', 'dynamic-allocation', 'dynamic-arrays', 'dynamic-programming', 'big-o', 'tail-recursion', 'time-complexity', 'fibonacci', 'recursion', 'set', 'mergesort', 'binary-search', 'bubble-sort', 'sorting', 'linked-list', 'list']",queue,graph,hashcode,probability,boolean-logic
"['boolean', 'algorithm', 'string-comparison', 'string', 'hash', 'multidimensional-array', 'recursion']",sorting,queue,list,graph,optimization
['graph-theory'],directed-graph,heuristics,greedy,shortest-path,a-star
"['optimization', 'hashtable', 'string', 'hashmap', 'data-structures', 'arrays', 'sorting', 'list']",algorithm,memory-management,hash,heap-memory,multidimensional-array
['arrays'],algorithm,optimization,sorting,list,data-structures
"['data-structures', 'queue']",tree,recursion,multidimensional-array,boolean,hash
"['optimization', 'string', 'arrays', 'list']",algorithm,sorting,data-structures,recursion,hash
"['boolean', 'artificial-intelligence', 'algorithm', 'optimization', 'string', 'hash', 'data-structures', 'arrays', 'memory-management', 'partitioning', 'recursion', 'mergesort', 'sorting', 'insertion-sort']",list,complexity-theory,graph-theory,time-complexity,big-o
['graph'],artificial-intelligence,string-matching,graph-theory,string-comparison,code-complexity
['algorithm'],optimization,data-structures,sorting,memory-management,boolean
"['optimization', 'arrays', 'memory-management']",algorithm,data-structures,sorting,hash,recursion
"['optimization', 'arrays', 'queue', 'list']",sorting,data-structures,recursion,hash,memory-management
"['string', 'arrays', 'list']",algorithm,optimization,sorting,hash,data-structures
"['algorithm', 'arrays', 'sorting']",optimization,recursion,hash,data-structures,boolean
"['algorithm', 'string', 'multidimensional-array', 'arrays']",list,optimization,memory-management,hash,recursion
['arrays'],algorithm,optimization,list,sorting,data-structures
"['boolean-logic', 'boolean', 'algorithm', 'optimization', 'substring', 'string', 'arrays']",complexity-theory,hashtable,big-o,memory-management,hash
['arrays'],hash,optimization,list,memory-management,algorithm
"['algorithm', 'optimization', 'string', 'tree', 'data-structures', 'arrays', 'directed-graph', 'graph-theory', 'memory-management', 'sorting', 'list']",artificial-intelligence,a-star,graph-algorithm,hash,recursion
[],algorithm,string,arrays,optimization,sorting
"['boolean', 'optimization', 'string-comparison', 'string', 'binary-tree', 'tree', 'data-structures', 'multidimensional-array', 'arrays', 'memory-management', 'sorting', 'list']",algorithm,queue,recursion,hash,hashtable
"['complexity-theory', 'artificial-intelligence', 'algorithm', 'optimization', 'arrays', 'graph-theory', 'big-o', 'time-complexity']",graph-algorithm,data-structures,sorting,directed-graph,heuristics
"['data-structures', 'arrays', 'sorting']",algorithm,optimization,memory-management,recursion,hash
"['algorithm', 'optimization', 'sorting']",data-structures,boolean,recursion,memory-management,string-matching
"['boolean', 'algorithm', 'string', 'binary-tree', 'red-black-tree', 'tree', 'arrays']",optimization,data-structures,list,sorting,time-complexity
"['artificial-intelligence', 'algorithm', 'hashset', 'string', 'treenode', 'arrays', 'list']",optimization,data-structures,graph,sorting,recursion
"['algorithm', 'optimization', 'string', 'arrays', 'graph', 'big-o', 'sorting']",artificial-intelligence,complexity-theory,hash,memory-management,data-structures
"['string', 'arrays']",algorithm,optimization,sorting,list,hash
[],algorithm,string,arrays,optimization,data-structures
